nb
5500
6513
7602
8871
9828
10103
10064
9559
8881
9820
10494
10273
10131
9925
9306
8485
9289
10242
9815
9828
10052
8914
8647
9214
10192
10415
10421
9579
9202
8564
9942
11006
10734
10647
10139
9212
8400
8476
9544
10638
10006
9808
8813
8500
8433
10027
9620
9574
8241
8097
7062
8291
9036
8538
11738
8119
7346
6895
7768
8518
8212
8588
8665
7514
6960
8001
8333
8579
8718
8231
7232
6582
7326
7816
8820
7872
7086
6921
6078
7070
7431
7375
7394
7033
6301
5533
5414
7141
7275
7830
7086
6488
6228
6521
7151
7542
7355
6876
6540
5682
6752
7394
7486
6746
6766
6261
5479
6074
6964
7074
7091
6768
5893
5367
6152
6877
7227
7558
7115
6728
5365
7255
7317
7421
7667
6780
6206
5092
5532
7153
7554
9861
7282
6911
5810
6682
7440
7946
8369
7686
6698
5825
6372
7684
8098
7447
7210
6463
5354
5048
6686
7253
7863
7954
7522
6306
6880
7734
8304
9090
16112
7324
6152
6706
7820
7869
7630
7392
6541
5510
5745
7379
8036
7831
7509
7221
5837
6584
7434
7854
8175
7326
6946
5677
5257
5660
7183
7875
8299
7390
6489
7131
7995
8177
8060
7921
7387
6013
6827
8860
7755
7774
7350
7166
6208
6913
7834
7872
7358
7442
6932
5683
6548
7737
7970
7756
7443
7510
6022
6361
7165
7535
7652
7097
6576
5772
6603
7415
7340
7048
7170
6617
5680
6148
7128
7236
7527
7601
6476
5717
6533
7236
7239
7161
6929
6551
5084
4791
6734
6920
7155
7110
6365
5671
6290
6865
7112
6949
6687
6090
5652
6143
6986
7454
6958
6583
5987
5127
6154
6683
7243
6531
6451
5369
5187
6184
6917
7047
6610
6042
5217
4295
5042
5840
5912
6115
5955
5371
4882
5535
6281
6429
5445
5848
4933
4721
5150
5969
7132
6693
5907
5356
4429
5316
5500
6131
6132
6005
5335
4970
5877
6502
6156
8096
5464
5072
4579
5501
5714
6407
6297
5901
5231
4789
5386
5288
5251
4776
3092
4010
4357
5415
6066
6066
5969
5766
5179
4806
5613
5994
6027
5760
5386
4776
4279
5304
5799
5564
4967
5160
4703
4186
4868
5265
5248
5154
5016
4602
3190
2493
5347
6958
7530
7821
7636
6570
7187
10331
10736
12868
11567
10603
11074
12271
13861
15032
11897
11665
11009
11161
12055
13541
12632
12553
11945
10007
10020
12492
11962
12092
11790
10377
9992
10177
11987
11833
12404
12064
11084
10243
10383
10750
11070
12223
11462
11069
10186
9849
11901
11656
10308
11045
10714
9761
9826
11097
12188
11497
11623
11941
11365
10903
13008
